Washington,6288,6138,NH,Pinkham's Grant,Presidential,http://www.mountain-forecast.com/peaks/Mount-Washington-2/forecasts/1917,http://4000footers.com/washington.shtml
Adams,5774,804,NH,"Low and Burbank's Grant, Thompson and Meserves Purchase",Presidential,http://www.mountain-forecast.com/peaks/Mount-Adams-2/forecasts/1759,http://4000footers.com/adams.shtml
Jefferson,5712,742,NH,Thompson and Meserves Purchase,Presidential,http://www.mountain-forecast.com/peaks/Mt-Jefferson/forecasts/1742,http://4000footers.com/jefferson.shtml
Monroe,5384,254,NH,Thompson and Meserves Purchase,Presidential,http://www.mountain-forecast.com/peaks/Mount-Monroe/forecasts/1641,http://4000footers.com/monroe.shtml
Madison,5367,466,NH,Thompson,Presidential,http://www.mountain-forecast.com/peaks/Mount-Madison/forecasts/1636,http://4000footers.com/madison.shtml
Lafayette,5260,3320,NH,Lincoln,Franconia,http://www.mountain-forecast.com/peaks/Mount-Lafayette/forecasts/1603,http://4000footers.com/lafayette.shtml
Lincoln,5089,180,NH,Lincoln,Franconia,http://www.mountain-forecast.com/peaks/Mount-Lincoln-New-Hampshire/forecasts/1551,http://4000footers.com/lincoln.shtml
South Twin,4902,1522,NH,Grafton County,Twin,http://www.mountain-forecast.com/peaks/South-Twin-Mountain-New-Hampshire/forecasts/1494,http://4000footers.com/twinsouth.shtml
Carter Dome,4832,2830,NH,Coös County,Carter-Moriah,http://www.mountain-forecast.com/peaks/Carter-Dome/forecasts/1473,http://4000footers.com/carterdome.shtml
Moosilauke,4802,2933,NH,Benton,Kinsman,http://www.mountain-forecast.com/peaks/Moosilaukee/forecasts/1464,http://4000footers.com/moosilauke.shtml
Eisenhower,4780,350,NH,Carroll,Presidential,http://www.mountain-forecast.com/peaks/Mount-Eisenhower/forecasts/1541,http://4000footers.com/eisenhower.shtml
North Twin,4761,299,NH,Grafton County,Twin,http://www.mountain-forecast.com/peaks/North-Twin-Mountain-New-Hampshire/forecasts/1451,http://4000footers.com/twinnorth.shtml
Carrigain,4700,2240,NH,Livermore,Pemigewasset Wilderness,http://www.mountain-forecast.com/peaks/Mount-Carrigain/forecasts/1433,http://4000footers.com/carrigain.shtml
Bond,4698,299,NH,Lincoln,Twin,http://www.mountain-forecast.com/peaks/Mount-Bond/forecasts/1432,http://4000footers.com/bond.shtml
Middle Carter,4610,720,NH,Coös County,Carter-Moriah,http://www.mountain-forecast.com/peaks/Middle-Carter-Mountain/forecasts/1402,http://4000footers.com/cartermiddle.shtml
West Bond,4540,299,NH,Lincoln,Twin,http://www.mountain-forecast.com/peaks/Mount-Bond/forecasts/1432,http://4000footers.com/bondwest.shtml
Garfield,4500,820,NH,Franconia,Franconia,http://www.mountain-forecast.com/peaks/Mt-Garfield/forecasts/1372,http://4000footers.com/garfield.shtml
Liberty,4459,379,NH,Lincoln,Franconia,http://www.mountain-forecast.com/peaks/Mount-Liberty-New-Hampshire/forecasts/1359,http://4000footers.com/liberty.shtml
South Carter,4430,230,NH,Coös County,Carter-Moriah,http://www.mountain-forecast.com/peaks/South-Carter-Mountain/forecasts/1347,http://4000footers.com/cartersouth.shtml
"Wildcat, A Peak",4422,1034,NH,Gorham,Carter-Moriah,http://www.mountain-forecast.com/peaks/Wildcat-Mountain-New-Hampshire/forecasts/1348,http://4000footers.com/wildcata.shtml
Hancock,4420,1247,NH,Lincoln,Pemigewasset Wilderness,http://www.mountain-forecast.com/peaks/Mount-Hancock-New-Hampshire/forecasts/1335,http://4000footers.com/hancock.shtml
South Kinsman,4358,2240,NH,Franconia,Kinsman,http://www.mountain-forecast.com/peaks/Kinsman-Mountain/forecasts/1328,http://4000footers.com/kinsmansouth.shtml
Field,4340,1706,NH,Whitefield,Willey,http://www.mountain-forecast.com/peaks/Mount-Field-New-Hampshire/forecasts/1320,http://4000footers.com/field.shtml
Osceola,4340,200,NH,Lincoln,Sandwich,http://www.mountain-forecast.com/peaks/Mount-Osceola/forecasts/1315,http://4000footers.com/osceola.shtml
Flume,4328,408,NH,Lincoln,Franconia,http://www.mountain-forecast.com/peaks/Mount-Flume/forecasts/1319,http://4000footers.com/flume.shtml
South Hancock,4319,1247,NH,Lincoln,Pemigewasset Wilderness,http://www.mountain-forecast.com/peaks/Mount-Hancock-New-Hampshire/forecasts/1335,http://4000footers.com/hancocksouth.shtml
Pierce,4310,235,NH,Carroll,Presidential,http://www.mountain-forecast.com/peaks/Mount-Pierce/forecasts/1314,http://4000footers.com/pierce.shtml
North Kinsman,4293,2240,NH,Franconia,Kinsman,http://www.mountain-forecast.com/peaks/Kinsman-Mountain/forecasts/1328,http://4000footers.com/kinsmannorth.shtml
Willey,4285,256,NH,Whitefield,Willey,http://www.mountain-forecast.com/peaks/Mount-Willey/forecasts/1297,http://4000footers.com/willey.shtml
Bondcliff,4265,299,NH,Lincoln,Twin,http://www.mountain-forecast.com/peaks/Mount-Bond/forecasts/1432,http://4000footers.com/bondcliff.shtml
Zealand,4260,246,NH,Whitefield,Twin,http://www.mountain-forecast.com/peaks/Mount-Zealand/forecasts/1300,http://4000footers.com/zealand.shtml
North Tripyramid,4180,1320,NH,Waterville Valley,Sandwich,http://www.mountain-forecast.com/peaks/Mount-Tripyramid-New-Hampshire/forecasts/1275,http://4000footers.com/tripyramidnorth.shtml
Cabot,4170,2674,NH,Berlin,Pilot,http://www.mountain-forecast.com/peaks/Mount-Cabot/forecasts/1270,http://4000footers.com/cabot.shtml
East Osceola,4156,316,NH,Lincoln,Sandwich,http://www.mountain-forecast.com/peaks/East-Peak-Mount-Osceola/forecasts/1267,http://4000footers.com/osceolaeast.shtml
Middle Tripyramid,4140,1320,NH,Waterville Valley,Sandwich,http://www.mountain-forecast.com/peaks/Mount-Tripyramid-New-Hampshire/forecasts/1275,http://4000footers.com/tripyramidmiddle.shtml
Cannon,4100,740,NH,Franconia,Kinsman,http://www.mountain-forecast.com/peaks/Cannon-Mountain-New-Hampshire/forecasts/1250,http://4000footers.com/cannon.shtml
Hale,4054,614,NH,Bethlehem,Twin,http://www.mountain-forecast.com/peaks/Mount-Hale-New-Hampshire/forecasts/1236,http://4000footers.com/hale.shtml
Jackson,4052,331,NH,Twin Mountain (Carroll),Presidential,http://www.mountain-forecast.com/peaks/Mount-Jackson-New-Hampshire/forecasts/1235,http://4000footers.com/jackson.shtml
Tom,4051,331,NH,Whitefield,Willey,http://www.mountain-forecast.com/peaks/Mount-Tom-New-Hampshire/forecasts/1235,http://4000footers.com/tom.shtml
"Wildcat, D Peak",4050,1034,NH,Gorham,Carter-Moriah,http://www.mountain-forecast.com/peaks/Wildcat-Mountain-New-Hampshire/forecasts/1348,http://4000footers.com/wildcatd.shtml
Moriah,4049,922,NH,Gorham,Carter-Moriah,http://www.mountain-forecast.com/peaks/Mount-Moriah-New-Hampshire/forecasts/1234,http://4000footers.com/moriah.shtml
Passaconaway,4043,803,NH,Wonalancet,Sandwich,http://www.mountain-forecast.com/peaks/Mount-Passaconaway/forecasts/1238,http://4000footers.com/passaconway.shtml
Owl's Head,4025,825,NH,Franconia,Pemigewasset Wilderness,http://www.mountain-forecast.com/peaks/Owl-s-Head-Franconia-New-Hampshire/forecasts/1227,http://4000footers.com/owlshead.shtml
Galehead,4024,264,NH,Franconia,Twin,http://www.mountain-forecast.com/peaks/Galehead-Mountain/forecasts/1226,http://4000footers.com/galehead.shtml
Whiteface,4020,591,NH,Wonalancet,Sandwich,http://www.mountain-forecast.com/peaks/Mount-Whiteface/forecasts/1225,http://4000footers.com/whiteface.shtml
Waumbek,4006,1289,NH,Jefferson,Pliny,http://www.mountain-forecast.com/peaks/Mount-Waumbek/forecasts/1221,http://4000footers.com/waumbek.shtml
Isolation,4004,203,NH,Pinkham Notch,Presidential,http://www.mountain-forecast.com/peaks/Mount-Isolation/forecasts/1220,http://4000footers.com/isolation.shtml
Tecumseh,4003,1739,NH,Waterville Valley,Sandwich,http://www.mountain-forecast.com/peaks/Mt-Tecumseh/forecasts/1220,http://4000footers.com/tecumseh.shtml